Date,10-Nov-17,,,,,
Dict,Dict Label,x,u,df,label,comment
caldata,C1,1.49E-04,1.00E-06,10,C1err,none
caldata,R4A,5.43E-05,5.00E-07,10,R4Aerr,none
caldata,R4B,-8.30E-06,5.00E-07,10,R4Berr,none
caldata,R4C,6.67E-05,5.00E-07,10,R4Cerr,none
caldata,G1,1.38E-05,5.00E-07,10,G1err,none
caldata,G2,8.40E-06,5.00E-07,10,G2err,none
caldata,Amp,1.10E-05,1.40E-05,10,Amperr,none
caldata,Amp_phase,0.00E+00,1.70E-05,10,Amp_phase_err,none
caldata,cal_temp,2.00E+01,5.00E-01,10,cal_temp,none
acdc,C1,0.00E+00,0.00E+00,10,C1acdc,none
acdc,R4A,0.00E+00,2.50E-06,10,R4Aacdc,none
acdc,R4B,0.00E+00,2.50E-06,10,R4Bacdc,none
acdc,R4C,0.00E+00,2.50E-06,10,R4Cacdc,none
acdc,G1,0.00E+00,2.50E-06,10,G1acdc,none
acdc,G2,0.00E+00,2.50E-06,10,G2acdc,none
tempcoeffs,C1,0.00E+00,2.00E-06,10,C1alpha,none
tempcoeffs,R4A,0.00E+00,2.00E-06,10,R4Aalpha,none
tempcoeffs,R4B,0.00E+00,2.00E-06,10,R4Balpha,none
tempcoeffs,R4C,0.00E+00,2.00E-06,10,R4Calpha,none
tempcoeffs,G1,0.00E+00,2.00E-06,10,G1alpha,none
tempcoeffs,G2,0.00E+00,2.00E-06,10,G2alpha,none
stability,C1,0.00E+00,5.00E-06,10,C1stab,none
stability,R4A,0.00E+00,1.00E-06,10,R4Astab,none
stability,R4B,0.00E+00,1.00E-06,10,R4Bstab,none
stability,R4C,0.00E+00,1.00E-06,10,R4Cstab,none
stability,G1,0.00E+00,1.00E-06,10,G1stab,none
stability,G2,0.00E+00,1.00E-06,10,G2stab,none
ivd,Adial_lin,0.00E+00,1.00E-06,10,Adial_lin,none
ivd,Bdial_lin,0.00E+00,1.00E-06,10,Bdial_lin,none
